Date,Open,High,Low,Close,Adj Close,Volume
1/4/2021,19,19.1,17.15,17.25,17.25,10022500
1/5/2021,17.35,18.08,17.23,17.370001,17.370001,4961500
1/6/2021,17.34,18.98,17.33,18.360001,18.360001,6056200
1/7/2021,18.469999,19.450001,18.02,18.08,18.08,6129300
1/8/2021,18.18,18.299999,17.08,17.690001,17.690001,6482000
1/11/2021,19.41,20.65,19.01,19.940001,19.940001,14927600
1/12/2021,19.959999,20.4,19.32,19.950001,19.950001,7060700
1/13/2021,20.42,38.650002,20.030001,31.4,31.4,144501700
1/14/2021,38.09,43.060001,33.049999,39.91,39.91,93717400
1/15/2021,38.490002,40.75,34.009998,35.5,35.5,46866400
1/19/2021,41.549999,45.52,36.639999,39.360001,39.360001,74721900
1/20/2021,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
1/21/2021,39.23,44.75,37,43.029999,43.029999,57079800
1/22/2021,42.59,76.760002,42.32,65.010002,65.010002,197157900
1/25/2021,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
1/26/2021,88.559998,150,80.199997,147.979996,147.979996,178588000
1/27/2021,354.829987,380,249,347.51001,347.51001,93396700
1/28/2021,265,483,112.25,193.600006,193.600006,58815800
1/29/2021,379.709991,413.980011,250,325,325,50259200
2/1/2021,316.559998,322,212,225,225,37382200
2/2/2021,140.759995,158,74.220001,90,90,78183100
2/3/2021,112.010002,113.400002,85.25,92.410004,92.410004,42698500
2/4/2021,91.190002,91.5,53.330002,53.5,53.5,62427300
2/5/2021,54.040001,95,51.09,63.77,63.77,80886300
2/8/2021,72.410004,72.660004,58.02,60,60,25687300
2/9/2021,56.610001,57,46.52,50.310001,50.310001,26843100
2/10/2021,50.77,62.830002,46.549999,51.200001,51.200001,36455000
2/11/2021,50.009998,55.32,48.220001,51.099998,51.099998,12997400
2/12/2021,50.75,55.240002,48.049999,52.400002,52.400002,14498000
2/16/2021,52.66,53.5,49.040001,49.509998,49.509998,8175000
2/17/2021,49.77,51.189999,44.560001,45.939999,45.939999,9186800
2/18/2021,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
2/19/2021,41.279999,43.889999,38.5,40.59,40.59,14828200
2/22/2021,46.689999,48.509998,42.400002,46,46,19476000
2/23/2021,44.970001,46.23,40,44.970001,44.970001,7565200
2/24/2021,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2/25/2021,169.559998,184.679993,101,108.730003,108.730003,150308800
2/26/2021,117.459999,142.899994,86,101.739998,101.739998,91963000
3/1/2021,104.540001,133.990005,99.970001,120.400002,120.400002,49597300
3/2/2021,116.93,133.199997,112.199997,118.18,118.18,33640400
3/3/2021,122.510002,127.75,113.120003,124.18,124.18,19173700
3/4/2021,125,147.869995,115.300003,132.350006,132.350006,32473600
3/5/2021,128.169998,151.529999,127.5,137.740005,137.740005,30660200
3/8/2021,154.889999,210.869995,146.100006,194.5,194.5,63424800
3/9/2021,217.710007,249.850006,208.509995,246.899994,246.899994,38725800
3/10/2021,269.429993,348.5,172,265,265,71361900
3/11/2021,241.639999,281.5,232.600006,260,260,28186000
3/12/2021,275,295.5,262.269989,264.5,264.5,25760700
3/15/2021,277.519989,283,206,220.139999,220.139999,24100400
3/16/2021,203.160004,220.699997,172.350006,208.169998,208.169998,35241900
