Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,56.029999,61.840000,55.020000,60.639999,59.826839,217000
2020-03-20,61.830002,63.169998,59.029999,59.240002,58.445618,135200
2020-03-23,58.889999,59.950001,57.139999,59.070000,58.277897,212800
2020-03-24,61.810001,63.950001,61.380001,63.950001,63.092453,96400
2020-03-25,63.549999,66.169998,62.310001,64.199997,63.609650,256800
2020-03-26,64.870003,68.419998,64.870003,67.739998,67.117096,97300
2020-03-27,65.760002,67.339996,65.080002,65.540001,64.937340,79800
2020-03-30,65.709999,67.000000,64.709999,66.889999,66.274918,67100
2020-03-31,66.459999,67.449997,65.389999,67.029999,66.413628,60700
2020-04-01,64.300003,65.239998,62.000000,62.639999,62.064003,73600
2020-04-02,61.950001,63.900002,61.230000,62.779999,62.202717,50600
2020-04-03,62.439999,62.619999,59.849998,60.799999,60.240921,66200
2020-04-06,63.240002,65.209999,63.220001,64.989998,64.392387,57500
2020-04-07,67.519997,67.900002,64.529999,65.309998,64.709442,100300
2020-04-08,65.720001,68.300003,65.550003,67.790001,67.166649,106700
2020-04-09,69.320000,71.889999,69.320000,71.199997,70.545288,124400
2020-04-13,71.300003,71.300003,69.349998,70.370003,69.722923,107700
2020-04-14,71.519997,72.750000,70.610001,71.699997,71.040695,73100
2020-04-15,69.139999,70.570000,67.739998,68.830002,68.197083,236700
2020-04-16,68.830002,69.000000,66.599998,67.839996,67.216179,66400
2020-04-17,70.529999,71.400002,68.680000,71.040001,70.386757,53000
2020-04-20,69.699997,72.269997,69.699997,71.000000,70.347130,64600
2020-04-21,69.000000,70.540001,68.750000,69.760002,69.118538,62400
2020-04-22,71.489998,71.489998,70.239998,70.669998,70.020164,41100
2020-04-23,71.040001,72.650002,70.849998,71.070000,70.416481,37500
2020-04-24,72.120003,72.919998,71.000000,72.519997,71.853149,43400
2020-04-27,73.440002,76.169998,73.440002,75.330002,74.637314,37700
2020-04-28,77.480003,77.650002,75.639999,76.610001,75.905540,109800
2020-04-29,79.129997,81.650002,78.000000,80.699997,79.957932,78500
2020-04-30,79.699997,80.250000,77.250000,77.379997,76.668457,44600
2020-05-01,75.989998,75.989998,72.910004,74.570000,73.884300,86800
2020-05-04,74.190002,75.309998,72.919998,75.309998,74.617493,49900
2020-05-05,76.320000,77.500000,75.089996,75.430000,74.736397,39000
2020-05-06,75.849998,75.849998,74.559998,74.699997,74.013100,34200
2020-05-07,75.610001,76.239998,75.519997,75.790001,75.093086,20400
2020-05-08,76.970001,78.610001,76.860001,78.610001,77.887146,58500
2020-05-11,77.650002,79.250000,77.040001,78.820000,78.095222,43500
2020-05-12,79.300003,79.580002,76.120003,76.120003,75.420052,94300
2020-05-13,75.989998,75.989998,72.180000,73.529999,72.853867,98500
2020-05-14,72.129997,73.470001,70.010002,73.370003,72.695335,51000
2020-05-15,72.690002,75.070000,72.690002,74.800003,74.112190,29200
2020-05-18,78.089996,79.510002,77.809998,79.150002,78.422188,39400
2020-05-19,78.900002,79.580002,77.570000,77.570000,76.856720,29600
2020-05-20,78.760002,80.599998,78.669998,80.059998,79.323822,24000
2020-05-21,80.019997,80.870003,79.349998,80.190002,79.452621,26000
2020-05-22,80.629997,80.690002,79.510002,80.599998,79.858856,16100
2020-05-26,83.010002,83.870003,82.510002,82.519997,81.761192,25500
2020-05-27,84.080002,85.330002,81.300003,84.860001,84.079681,42200
2020-05-28,85.639999,85.800003,82.889999,83.180000,82.415131,23300
2020-05-29,82.860001,82.860001,80.889999,82.699997,81.939545,30100
2020-06-01,82.589996,84.220001,82.470001,83.300003,82.534027,17900
2020-06-02,83.519997,84.180000,82.750000,83.760002,82.989799,30600
2020-06-03,85.019997,86.220001,84.930000,85.279999,84.495819,42700
2020-06-04,85.040001,86.379997,84.959999,85.760002,84.971405,30900
2020-06-05,89.099998,90.000000,88.639999,89.059998,88.241051,30400
2020-06-08,90.449997,91.800003,89.959999,91.699997,90.856773,90500
2020-06-09,90.790001,91.169998,88.980003,90.580002,89.747086,49800
2020-06-10,90.260002,90.260002,87.750000,87.750000,86.943108,35400
2020-06-11,84.180000,84.750000,80.720001,80.839996,80.096642,71000
2020-06-12,83.419998,84.449997,80.849998,82.989998,82.226868,35600
2020-06-15,80.250000,85.690002,80.250000,85.339996,84.782059,31900
2020-06-16,88.349998,88.349998,85.400002,86.809998,86.242447,34100
2020-06-17,87.129997,87.129997,85.139999,85.699997,85.139702,22200
2020-06-18,84.639999,86.379997,84.349998,85.610001,85.050293,20400
2020-06-19,87.320000,87.320000,85.099998,85.410004,84.851601,28400
2020-06-22,85.750000,86.449997,84.599998,86.410004,85.845070,22500
2020-06-23,87.550003,87.989998,86.949997,86.949997,86.381531,34800
2020-06-24,86.410004,86.680000,83.629997,85.029999,84.474083,39100
2020-06-25,84.370003,86.430000,84.150002,86.430000,85.864929,24600
2020-06-26,85.510002,85.980003,83.459999,83.769997,83.222321,150400
2020-06-29,84.889999,86.959999,84.250000,86.389999,85.825195,15500
2020-06-30,86.099998,87.559998,85.769997,87.269997,86.699440,43700
2020-07-01,87.480003,87.989998,85.940002,86.360001,85.795395,20000
2020-07-02,87.860001,88.099998,86.519997,86.900002,86.331863,20700
2020-07-06,88.419998,88.879997,86.940002,87.440002,86.868332,43700
2020-07-07,86.540001,87.260002,85.400002,85.400002,84.841675,34800
