Date,Open,High,Low,Close*,Adj Close**,Volume
44272,3949.57,3983.87,3935.74,3974.12,3974.12,4541620000
44271,3973.59,3981.04,3953.44,3962.71,3962.71,4604870000
44270,3942.96,3970.08,3923.54,3968.94,3968.94,4882190000
44267,3924.52,3944.99,3915.21,3943.34,3943.34,4469240000
44266,3915.54,3960.27,3915.54,3939.34,3939.34,5300010000
44265,3891.99,3917.35,3885.73,3898.81,3898.81,5827250000
44264,3851.93,3903.76,3851.93,3875.44,3875.44,5496340000
44263,3844.39,3881.06,3819.25,3821.35,3821.35,5852240000
44260,3793.58,3851.69,3730.19,3841.94,3841.94,6842570000
44259,3818.53,3843.67,3723.34,3768.47,3768.47,7142240000
44258,3863.99,3874.47,3818.86,3819.72,3819.72,6150790000
44257,3903.64,3906.41,3868.57,3870.29,3870.29,5493690000
44256,3842.51,3914.5,3842.51,3901.82,3901.82,5071540000
44253,3839.66,3861.08,3789.54,3811.15,3811.15,6512950000
44252,3915.8,3925.02,3814.04,3829.34,3829.34,6513060000
44251,3873.71,3928.65,3859.6,3925.43,3925.43,5942350000
44250,3857.07,3895.98,3805.59,3881.37,3881.37,6280650000
44249,3885.55,3902.92,3874.71,3876.5,3876.5,5870190000
44246,3921.16,3930.41,3903.07,3906.71,3906.71,4823940000
44245,3915.86,3921.98,3885.03,3913.97,3913.97,4773430000
44244,3918.5,3933.61,3900.43,3931.33,3931.33,4718280000
44243,3939.61,3950.43,3923.85,3932.59,3932.59,5037360000
44239,3911.65,3937.23,3905.78,3934.83,3934.83,4119260000
44238,3916.4,3925.99,3890.39,3916.38,3916.38,4570080000
44237,3920.78,3931.5,3884.94,3909.88,3909.88,4815380000
44236,3910.49,3918.35,3902.64,3911.23,3911.23,4554610000
44235,3892.59,3915.77,3892.59,3915.59,3915.59,4635030000
44232,3878.3,3894.56,3874.93,3886.83,3886.83,4838580000
44231,3836.66,3872.42,3836.66,3871.74,3871.74,4856670000
44230,3840.27,3847.51,3816.68,3830.17,3830.17,4846900000
44229,3791.84,3843.09,3791.84,3826.31,3826.31,5495370000
44228,3731.17,3784.32,3725.62,3773.86,3773.86,5392870000
44225,3778.05,3778.05,3694.12,3714.24,3714.24,6612570000
44224,3755.75,3830.5,3755.75,3787.38,3787.38,6937960000
44223,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000
44222,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000
44221,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000
44218,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000
44217,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000
44216,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000
44215,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000
44211,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000
44210,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000
44209,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000
44208,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000
44207,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000
44204,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000
44203,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000
44202,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000
44201,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000
44200,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000
